"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2020-11-01,6349,4709,1270,3829,4095,6397,7576,1000,1112,2971
2020-12-01,6320,7771,1419,2991,5738,6083,7646,1411,1670,1558
2021-01-01,5016,3910,1314,3011,4637,7706,12062,1326,1161,1823
2021-02-01,7043,5062,2373,3403,5110,6907,14901,1105,1438,2622
2021-03-01,11285,9304,2804,6181,7379,7602,20051,1805,1966,3660
2021-04-01,4753,7547,1889,3289,6503,7696,10312,1514,1393,3452
2021-05-01,8189,7122,2140,5682,8871,10871,17443,1879,2843,2174
2021-06-01,12687,12634,3123,7511,7710,10202,19081,2931,2902,5181
2021-07-01,13306,11235,2140,6045,9371,8228,15928,1918,2260,3327
2021-08-01,9613,9856,2198,6400,6439,9949,12536,2972,3090,6364
2021-09-01,10934,9901,3395,12389,8161,11155,11603,3202,3274,5526
2021-10-01,16425,14883,5360,12669,9528,14627,16218,6509,6753,9677
2021-11-01,17537,12325,4963,12253,11728,15403,14008,5064,6080,8922
2021-12-01,18461,11167,4574,9927,11795,15293,13900,4387,5061,8607
2022-01-01,20384,18816,4695,13187,16235,18154,20948,6069,12067,11374
2022-02-01,15391,16568,7897,11611,10278,12469,18919,6197,7471,11894
2022-03-01,18191,23356,3992,16460,11628,13372,16856,13737,8345,17790
2022-04-01,15742,22043,5255,16645,15075,21151,20523,13130,8978,14904
